"Data set title: Wei-Ting Lin. 2016. Visual survey of insect communities on Iva frutescens in summer 2013 and 2014 on Sapelo Island, Georgia. Georgia Coastal Ecosystems LTER Data Catalog (data set INS-GCET-1608; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=INS-GCET-1608)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Location","Date","Location_code","Patch_ID","Part_Sampled","Time_CrabSample","Armases","Time_InsectSample","Spider","Ant","Ophraella","Paria","Uroleucon","Hesperotettix","Other_Grasshopper","Other_Planthoppers","Micrutalis","Cryptolaemus","Coccinella_septempunctata","Cycloneda_sanguinea","Naemia","Psyllobora","Ladybug_Pupa","Ladybug_Larvae"
"dike",29-May-13,1,3,1.00,6:39,0,9:36,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,3,1.00,6:54,0,8:06,2,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,3,1.00,6:22,0,9:02,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,3,1.00,6:33,0,14:51,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,3,1.00,6:52,0,10:13,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,3,1.00,6:28,0,10:17,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,4,1.00,6:41,2,9:41,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,4,0.50,6:51,0,8:15,1,2,0,0,30,0,0,0,0,0,0,0,0,1,0,0
"dike",4-Jun-13,1,4,1.00,6:25,2,9:14,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0
"dike",7-Jun-13,1,4,1.00,6:38,1,14:51,1,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,4,1.00,6:51,1,10:19,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,4,1.00,6:31,0,10:25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,5,1.00,6:45,0,9:48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,5,1.00,6:49,0,8:23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,5,1.00,6:27,0,9:21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,5,1.00,6:39,0,15:07,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,5,1.00,6:48,2,10:25,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,5,1.00,6:32,0,10:34,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,6,1.00,6:49,9,10:13,1,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,6,1.00,6:48,3,8:25,1,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,6,1.00,6:29,4,9:25,0,0,0,0,50,0,1,0,0,1,0,0,0,0,0,0
"dike",7-Jun-13,1,6,1.00,6:41,0,15:11,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,6,1.00,6:47,2,10:27,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,6,1.00,6:34,0,10:38,1,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0
"dike",29-May-13,1,7,1.00,6:52,1,9:52,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,7,1.00,6:46,0,8:32,0,3,0,0,8,0,0,1,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,7,1.00,6:31,0,9:31,1,2,0,0,25,0,0,2,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,7,1.00,6:43,0,15:15,1,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,7,1.00,6:45,3,10:31,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,7,1.00,6:35,2,10:43,0,5,0,0,11,0,1,2,0,0,0,0,0,0,0,0
"dike",29-May-13,1,8,0.50,6:56,7,9:59,1,0,0,0,530,0,0,0,0,0,2,0,0,0,0,4
"dike",1-Jun-13,1,8,0.50,6:43,4,8:40,0,0,0,0,290,0,0,0,0,0,0,1,0,0,2,2
"dike",4-Jun-13,1,8,1.00,6:34,5,9:35,3,0,0,0,155,0,0,0,0,0,0,1,0,0,0,0
"dike",7-Jun-13,1,8,1.00,6:44,0,15:22,0,0,0,0,37,0,0,0,0,0,0,2,0,0,0,0
"dike",10-Jun-13,1,8,1.00,6:44,2,10:35,2,0,0,0,40,0,0,0,0,2,0,1,0,0,0,0
"dike",13-Jun-13,1,8,1.00,6:38,2,10:50,2,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,9,1.00,6:59,0,10:22,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0
"dike",1-Jun-13,1,9,1.00,6:41,0,8:45,0,1,0,0,4,2,0,2,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,9,1.00,6:37,0,9:49,0,1,0,0,10,0,0,2,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,9,1.00,6:47,0,15:33,0,1,0,0,20,1,0,1,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,9,1.00,6:41,0,10:45,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,9,1.00,6:40,0,11:02,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,10,1.00,7:00,0,10:26,0,0,0,14,1,0,0,2,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,10,1.00,6:50,,8:52,2,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,10,1.00,6:39,0,9:51,1,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,10,1.00,6:47,0,15:35,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,10,1.00,6:38,0,10:46,0,1,0,4,3,0,1,3,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,10,1.00,6:40,0,11:04,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0
"dike",29-May-13,1,11,1.00,7:01,0,10:33,2,2,0,0,9,2,0,1,0,1,0,0,0,0,0,0
"dike",1-Jun-13,1,11,1.00,6:40,0,8:58,4,1,0,0,6,5,1,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,11,1.00,6:41,0,9:59,4,0,0,0,15,1,1,2,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,11,1.00,6:49,0,16:00,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,11,1.00,6:36,1,10:54,3,5,0,0,55,5,0,3,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,11,1.00,6:42,0,11:14,1,2,0,0,70,2,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,12,1.00,7:03,0,10:40,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,12,1.00,6:39,0,9:03,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,12,1.00,6:44,0,10:05,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,12,1.00,6:50,0,15:42,3,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,12,1.00,6:36,2,11:00,0,1,0,0,28,1,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,12,1.00,6:43,0,11:21,1,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,13,0.50,7:06,4,10:46,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,13,0.50,6:38,0,9:08,1,1,0,0,50,0,0,0,0,1,0,0,0,0,0,0
"dike",4-Jun-13,1,13,0.50,6:44,0,10:10,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1
"dike",7-Jun-13,1,13,1.00,6:52,0,15:48,1,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,13,1.00,6:35,1,11:03,0,0,0,0,140,1,0,2,1,0,0,0,0,0,0,0
"dike",13-Jun-13,1,13,1.00,6:43,0,11:26,2,0,0,1,110,2,0,1,0,0,0,0,0,0,0,0
"dike",29-May-13,1,14,1.00,7:11,4,10:54,1,0,0,0,210,0,0,0,0,0,0,0,0,0,0,1
"dike",1-Jun-13,1,14,1.00,6:36,1,9:13,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,4
"dike",4-Jun-13,1,14,1.00,6:46,3,10:16,2,0,0,0,30,0,0,0,0,2,0,0,0,0,0,1
"dike",7-Jun-13,1,14,1.00,6:55,0,15:59,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,14,1.00,6:33,0,11:11,1,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,14,1.00,6:45,0,11:35,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,15,0.50,7:36,1,11:44,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0
"dike",1-Jun-13,1,15,0.50,6:21,4,9:55,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,15,1.00,7:03,5,8:25,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,15,1.00,6:24,0,14:19,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0
"dike",10-Jun-13,1,15,1.00,7:01,2,9:35,0,3,0,0,55,0,0,0,3,1,0,0,0,0,0,0
"dike",13-Jun-13,1,15,1.00,6:58,0,9:33,0,2,0,0,33,0,0,0,4,0,0,0,0,0,0,0
"dike",29-May-13,1,16,1.00,7:31,0,11:36,0,0,0,0,34,1,0,0,0,0,0,0,0,1,0,1
"dike",1-Jun-13,1,16,1.00,6:22,3,9:48,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2
"dike",4-Jun-13,1,16,1.00,7:02,2,8:30,1,0,0,0,110,0,0,0,0,0,0,0,0,0,0,3
"dike",7-Jun-13,1,16,1.00,6:25,1,14:24,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,16,1.00,7:00,1,9:42,1,2,0,0,90,0,0,0,2,0,0,0,0,0,0,0
"dike",13-Jun-13,1,16,1.00,6:58,0,9:43,1,0,0,0,115,0,0,0,2,0,0,0,0,0,0,0
"dike",29-May-13,1,17,1.00,7:29,1,11:28,1,0,0,0,30,0,0,0,0,3,0,0,0,0,0,0
"dike",1-Jun-13,1,17,1.00,6:25,2,9:44,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,17,1.00,7:00,0,8:45,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,17,1.00,6:29,0,14:34,0,2,0,0,36,1,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,17,1.00,6:56,0,9:57,0,1,0,0,15,2,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,17,1.00,6:55,0,10:00,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,18,1.00,7:25,2,11:23,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0
"dike",1-Jun-13,1,18,1.00,6:26,0,9:39,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
"dike",4-Jun-13,1,18,1.00,6:57,0,9:00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,18,1.00,6:32,1,14:46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,18,1.00,6:53,0,10:10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,18,1.00,6:53,0,10:13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,19,1.00,7:21,4,11:20,1,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,19,1.00,6:28,0,9:34,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,19,1.00,6:50,0,9:11,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0
"dike",7-Jun-13,1,19,1.00,6:35,0,14:54,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0
"dike",10-Jun-13,1,19,1.00,6:51,0,10:17,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,19,1.00,6:53,0,10:23,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,20,1.00,7:17,2,11:12,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,20,1.00,6:31,0,9:28,1,0,0,0,20,0,0,1,0,1,0,0,0,0,0,0
"dike",4-Jun-13,1,20,1.00,6:48,0,9:45,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,20,1.00,6:45,0,15:29,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,20,1.00,6:42,0,6:42,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"dike",13-Jun-13,1,20,1.00,6:48,1,11:43,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"dike",29-May-13,1,21,1.00,7:16,0,11:04,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"dike",1-Jun-13,1,21,1.00,6:34,0,9:20,2,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0
"dike",4-Jun-13,1,21,1.00,6:51,1,9:55,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"dike",7-Jun-13,1,21,1.00,6:48,0,15:39,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"dike",10-Jun-13,1,21,1.00,6:37,0,10:51,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
"dike",13-Jun-13,1,21,1.00,6:42,0,11:10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"airport",31-May-13,2,1,1.00,6:41,1,8:45,2,0,0,5,0,0,2,0,4,0,0,0,1,0,0,0
"airport",3-Jun-13,2,1,1.00,6:41,1,8:51,0,0,0,2,0,0,1,2,4,0,0,0,1,0,0,0
"airport",6-Jun-13,2,1,1.00,6:42,0,8:12,0,0,0,4,6,0,0,7,6,0,0,0,0,0,0,0
"airport",9-Jun-13,2,1,1.00,6:40,0,9:24,1,1,0,5,0,0,0,9,5,0,0,0,0,0,0,0
"airport",12-Jun-13,2,1,1.00,6:38,0,8:11,1,1,0,4,1,0,0,11,0,0,0,0,0,0,0,0
"airport",15-Jun-13,2,1,1.00,6:36,0,8:44,1,0,0,6,1,0,0,9,1,0,0,0,0,0,0,0
"airport",31-May-13,2,2,1.00,6:40,0,8:29,2,0,0,2,5,0,0,1,0,0,0,0,2,0,0,0
"airport",3-Jun-13,2,2,1.00,6:39,2,8:46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,2,1.00,6:40,1,8:20,1,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0
"airport",9-Jun-13,2,2,1.00,6:38,1,9:13,0,0,0,3,7,1,0,4,0,0,0,0,0,0,0,0
"airport",12-Jun-13,2,2,1.00,6:37,3,8:16,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"airport",15-Jun-13,2,2,1.00,6:34,0,8:51,1,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0
"airport",31-May-13,2,3,1.00,6:40,0,8:23,0,0,0,7,0,0,1,0,2,0,0,0,1,0,0,0
"airport",3-Jun-13,2,3,1.00,6:39,0,8:35,1,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0
"airport",6-Jun-13,2,3,1.00,6:40,0,8:25,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0
"airport",9-Jun-13,2,3,1.00,6:38,0,9:10,3,0,0,5,2,0,0,1,1,0,0,0,0,0,0,0
"airport",12-Jun-13,2,3,1.00,6:36,0,8:21,1,0,0,8,0,1,3,0,0,0,0,0,0,0,0,0
"airport",15-Jun-13,2,3,1.00,6:34,0,8:57,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"airport",31-May-13,2,4,1.00,6:40,0,8:37,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"airport",3-Jun-13,2,4,1.00,6:40,0,8:40,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"airport",6-Jun-13,2,4,1.00,6:41,0,8:30,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0
"airport",9-Jun-13,2,4,1.00,6:39,0,9:19,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0
"airport",12-Jun-13,2,4,1.00,6:37,0,8:26,0,0,0,2,5,0,2,1,0,0,0,0,0,0,0,0
"airport",15-Jun-13,2,4,1.00,6:35,0,9:02,1,0,0,1,0,1,0,3,2,0,0,0,0,0,0,0
"airport",31-May-13,2,5,1.00,6:39,0,8:15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"airport",3-Jun-13,2,5,1.00,6:38,0,8:28,1,0,0,14,0,1,0,1,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,5,1.00,6:39,0,8:36,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0
"airport",9-Jun-13,2,5,1.00,6:37,0,9:05,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0
"airport",12-Jun-13,2,5,1.00,6:36,0,8:30,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"airport",15-Jun-13,2,5,1.00,6:34,0,9:08,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"airport",31-May-13,2,6,1.00,6:38,0,8:07,3,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0
"airport",3-Jun-13,2,6,1.00,6:37,0,8:20,0,0,0,20,0,1,1,1,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,6,1.00,6:37,0,8:43,1,0,0,26,0,0,2,0,3,0,0,0,0,0,0,0
"airport",9-Jun-13,2,6,1.00,6:37,0,9:10,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"airport",12-Jun-13,2,6,1.00,6:35,0,8:34,0,0,0,16,0,0,1,1,1,0,0,0,0,0,0,0
"airport",15-Jun-13,2,6,1.00,6:33,0,9:15,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"airport",31-May-13,2,7,1.00,6:38,0,7:59,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"airport",3-Jun-13,2,7,1.00,6:37,0,8:11,0,1,0,6,1,0,0,0,2,0,0,0,0,0,0,0
"airport",6-Jun-13,2,7,1.00,6:38,0,8:50,1,0,0,13,18,0,0,0,3,0,0,0,0,0,0,0
"airport",9-Jun-13,2,7,1.00,6:36,0,8:56,0,0,0,5,18,0,0,0,1,0,0,0,0,0,0,0
"airport",12-Jun-13,2,7,1.00,6:34,2,8:39,1,0,0,2,30,0,1,0,1,0,0,0,0,0,0,0
"airport",15-Jun-13,2,7,1.00,6:33,0,9:22,1,0,0,2,30,0,1,1,3,0,0,0,0,0,0,0
"airport",31-May-13,2,8,1.00,6:38,0,7:55,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"airport",3-Jun-13,2,8,1.00,6:36,0,8:17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,8,1.00,6:37,0,8:56,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"airport",9-Jun-13,2,8,1.00,6:36,0,8:54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"airport",12-Jun-13,2,8,1.00,6:35,0,8:47,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0
"airport",15-Jun-13,2,8,1.00,6:32,0,9:34,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"airport",31-May-13,2,9,1.00,6:37,0,7:51,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0
"airport",3-Jun-13,2,9,1.00,6:35,0,8:04,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,9,1.00,6:36,0,8:58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"airport",9-Jun-13,2,9,1.00,6:37,0,8:52,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"airport",12-Jun-13,2,9,1.00,6:33,0,8:48,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"airport",15-Jun-13,2,9,1.00,6:32,0,9:31,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"airport",31-May-13,2,10,1.00,6:36,0,7:44,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0
"airport",3-Jun-13,2,10,1.00,6:36,0,8:06,1,1,0,6,1,0,2,4,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,10,1.00,6:35,0,9:00,1,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0
"airport",9-Jun-13,2,10,1.00,6:35,0,8:49,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
"airport",12-Jun-13,2,10,1.00,6:33,0,8:44,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"airport",15-Jun-13,2,10,1.00,6:32,0,9:28,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"airport",31-May-13,2,11,1.00,6:35,0,7:37,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"airport",3-Jun-13,2,11,1.00,6:35,0,8:00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,11,1.00,6:35,0,9:04,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
"airport",9-Jun-13,2,11,1.00,6:34,0,8:45,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"airport",12-Jun-13,2,11,1.00,6:32,0,8:49,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"airport",15-Jun-13,2,11,1.00,6:31,0,9:36,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
"airport",31-May-13,2,12,1.00,6:35,0,7:31,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"airport",3-Jun-13,2,12,1.00,6:34,0,7:56,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"airport",6-Jun-13,2,12,1.00,6:34,0,9:08,1,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0
"airport",9-Jun-13,2,12,1.00,6:34,0,8:39,0,1,0,8,0,0,3,2,1,0,0,0,0,0,0,0
"airport",12-Jun-13,2,12,1.00,6:32,0,8:52,1,0,0,10,0,0,1,1,1,0,0,0,0,0,0,0
"airport",15-Jun-13,2,12,1.00,6:31,0,9:42,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"lighthouse",30-May-13,3,1,1.00,6:45,4,8:53,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0
"lighthouse",2-Jun-13,3,1,1.00,6:31,0,9:31,0,1,0,0,8,0,0,2,1,0,0,0,0,0,0,0
"lighthouse",5-Jun-13,3,1,1.00,6:35,1,7:28,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
"lighthouse",8-Jun-13,3,1,1.00,6:54,0,9:10,1,0,0,0,15,1,2,1,0,0,0,0,0,0,0,0
"lighthouse",11-Jun-13,3,1,1.00,6:33,1,9:29,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0
"lighthouse",14-Jun-13,3,1,1.00,6:33,0,8:53,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0
"lighthouse",30-May-13,3,2,1.00,6:47,5,8:45,1,0,0,5,35,0,0,0,1,0,0,1,0,0,1,0
"lighthouse",2-Jun-13,3,2,1.00,6:33,3,9:25,1,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0
"lighthouse",5-Jun-13,3,2,1.00,6:38,5,7:35,4,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0
"lighthouse",8-Jun-13,3,2,1.00,6:52,1,9:18,1,5,0,4,15,0,0,1,3,0,0,0,0,0,0,0
"lighthouse",11-Jun-13,3,2,1.00,6:34,3,9:21,3,0,0,2,25,0,0,5,2,0,0,0,0,0,0,0
"lighthouse",14-Jun-13,3,2,1.00,6:34,2,9:01,1,5,0,2,55,1,0,6,3,0,0,0,0,0,0,0
"lighthouse",30-May-13,3,3,1.00,6:48,0,8:41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lighthouse",2-Jun-13,3,3,1.00,6:36,0,9:19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
