"Data set title: Wei-Ting Lin. 2016. Visual survey of insect communities on Iva frutescens in summer 2013 and 2014 on Sapelo Island, Georgia. Georgia Coastal Ecosystems LTER Data Catalog (data set INS-GCET-1608; http://gce-lter.marsci.uga.edu/public/app/dataset_details.asp?accession=INS-GCET-1608)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Location","Location_Code","Patch_ID","Latitude","Longitude","Sample_Date","Length","Width","Area","Height","Distance_to_Nearest","Noon_Shade","Surround_Mud","Surround_Borrichia","Surround_Dry","Surround_Grass"
"dike",1,14,31.39505105,-81.28531810,28-May-13,1.09,0.68,0.7412,1.21,9.80,0.50,1.0,0.0,0.0,0.0
"dike",1,15,31.39986146,-81.28688765,28-May-13,1.65,0.88,1.4520,1.26,3.55,0.60,0.8,0.2,0.0,0.0
"dike",1,16,31.39972801,-81.28701279,28-May-13,1.80,1.67,3.0060,1.00,1.95,0.90,1.0,0.0,0.0,0.0
"dike",1,17,31.39908783,-81.28739721,28-May-13,0.75,1.45,1.0875,0.62,5.95,0.50,1.0,0.0,0.0,0.0
"dike",1,18,31.39836158,-81.28726667,28-May-13,0.55,0.40,0.2200,0.95,1.60,0.50,1.0,0.0,0.0,0.0
"dike",1,19,31.39779749,-81.28695175,28-May-13,0.72,1.10,0.7920,1.00,4.95,0.05,0.4,0.6,0.0,0.0
"dike",1,20,31.39638025,-81.28615803,28-May-13,0.65,0.62,0.4030,0.85,2.06,0.70,1.0,0.0,0.0,0.0
"dike",1,21,31.39546211,-81.28560775,28-May-13,0.79,0.70,0.5530,1.21,4.29,0.00,0.6,0.4,0.0,0.0
"airport",2,1,31.42008868,-81.28950155,28-May-13,1.26,1.30,1.6380,1.26,0.95,0.00,0.0,0.5,0.0,0.5
"airport",2,2,31.41999971,-81.28951213,28-May-13,1.20,1.00,1.2000,1.36,1.32,0.00,0.0,0.2,0.0,0.8
"airport",2,3,31.41997506,-81.28949369,28-May-13,0.70,0.82,0.5740,1.33,0.72,0.00,0.0,0.1,0.0,0.9
"airport",2,4,,,28-May-13,1.45,0.68,0.9860,1.44,1.20,0.00,0.0,0.6,0.0,0.4
"airport",2,5,31.41994680,-81.28946556,28-May-13,1.30,1.32,1.7160,1.32,1.82,0.00,0.0,0.0,0.0,1.0
"airport",2,6,31.41991083,-81.28947496,28-May-13,0.80,1.50,1.2000,1.28,2.75,0.00,0.0,0.0,0.0,1.0
"airport",2,7,31.41985327,-81.28950811,28-May-13,1.67,0.54,0.9018,1.79,1.66,0.00,0.0,0.1,0.0,0.9
"airport",2,8,31.41988112,-81.28942420,28-May-13,0.51,0.57,0.2907,0.90,1.60,0.00,0.0,0.0,0.0,1.0
"airport",2,9,31.41986903,-81.28940837,28-May-13,0.45,0.45,0.2025,0.88,0.66,0.00,0.0,0.0,0.0,1.0
"airport",2,10,,,28-May-13,0.80,0.52,0.4160,1.26,2.55,0.00,0.0,0.0,0.0,1.0
"airport",2,11,31.41983295,-81.28937969,28-May-13,1.28,0.30,0.3840,1.44,2.40,0.00,0.0,0.0,0.0,1.0
"airport",2,12,31.41979893,-81.28935625,28-May-13,1.56,1.11,1.7316,1.22,3.52,0.00,0.0,0.0,0.0,1.0
"lighthouse",3,1,31.38996370,-81.28408680,28-May-13,1.60,1.23,1.9680,1.65,3.60,0.00,0.0,0.8,0.0,0.2
"lighthouse",3,2,31.38992264,-81.28422238,28-May-13,1.58,1.55,2.4490,2.10,0.70,0.05,0.0,1.0,0.0,0.0
"lighthouse",3,3,,,28-May-13,0.47,0.35,0.1645,1.44,1.13,0.00,0.0,1.0,0.0,0.0
"lighthouse",3,4,,,28-May-13,0.86,0.94,0.8084,1.50,2.01,0.00,0.0,0.5,0.0,0.5
"lighthouse",3,5,,,28-May-13,0.57,0.83,0.4731,,1.00,0.00,0.0,1.0,0.0,0.0
"lighthouse",3,6,31.39037226,-81.28502525,28-May-13,1.06,0.92,0.9752,1.79,1.13,0.10,0.0,0.2,0.0,0.8
"lighthouse",3,7,31.39040400,-81.28503155,28-May-13,1.35,1.20,1.6200,1.62,1.13,0.05,0.0,0.4,0.0,0.6
"lighthouse",3,8,31.39042893,-81.28501659,28-May-13,1.75,1.10,1.9250,1.59,3.50,0.00,0.0,0.0,0.0,1.0
"lighthouse",3,9,31.39048172,-81.28503823,28-May-13,1.00,0.59,0.5900,1.45,3.00,0.00,0.0,0.0,0.0,1.0
"lighthouse",3,10,31.39065221,-81.28510529,28-May-13,1.55,1.70,2.6350,1.36,4.17,0.00,0.0,0.0,1.0,0.0
"lighthouse",3,11,31.39069239,-81.28514462,28-May-13,1.60,2.27,3.6320,1.62,0.70,0.00,0.0,0.0,1.0,0.0
